Time - Measured Velocity,Spool Rev/Sec - Measured Velocity,Time - Measured Diameter,Diameter (mm) - Measured Diameter,Time - Target Velocity,Spool Rev/Sec - Target Velocity,Time - Predicted Diameter,Diameter (mm) - Predicted Diameter,Time - Temperature,Diameter (mm) - Temperature,Time - Stage Direction,Spool Rev/Sec - Stage Direction
6288,1.03333,6288,0.395941,6288,1,6288,0.317624,6288,94.928,6288,0
6289,1,6289,0.395941,6289,1,6289,0.317624,6289,94.928,6289,0
6290,0.966667,6290,0.395941,6290,1,6290,0.317624,6290,94.928,6290,0
6291,0.933333,6291,0.395941,6291,1,6291,0.317624,6291,94.928,6291,0
6292,0.966667,6292,0.395941,6292,1,6292,0.317624,6292,94.928,6292,0
6293,0.966667,6293,0.38227,6293,1,6293,0.317624,6293,94.928,6293,0
6294,1,6294,0.395941,6294,1,6294,0.317624,6294,94.928,6294,0
6295,1.03333,6295,0.395941,6295,1,6295,0.317624,6295,94.928,6295,0
6296,1.03333,6296,0.395941,6296,1,6296,0.317624,6296,94.928,6296,0
6297,1.06667,6297,0.395941,6297,1,6297,0.317624,6297,94.928,6297,0
6298,1.06667,6298,0.409611,6298,1,6298,0.317624,6298,95.3671,6298,0
6299,1.03333,6299,0.409611,6299,1,6299,0.317624,6299,94.928,6299,0
6300,1.03333,6300,0.409611,6300,1,6300,0.317624,6300,94.928,6300,0
6301,1,6301,0.409611,6301,1,6301,0.317624,6301,94.928,6301,0
6302,1,6302,0.409611,6302,1,6302,0.317624,6302,94.928,6302,0
6303,0.966667,6303,0.409611,6303,1,6303,0.317624,6303,94.928,6303,0
6304,0.966667,6304,0.409611,6304,1,6304,0.317624,6304,94.928,6304,0
6305,1,6305,0.409611,6305,1,6305,0.317624,6305,94.928,6305,0
6306,1.03333,6306,0.395941,6306,1,6306,0.317624,6306,94.928,6306,0
6307,1.03333,6307,0.395941,6307,1,6307,0.317624,6307,94.928,6307,0
6308,1.03333,6308,0.3686,6308,1,6308,0.317624,6308,94.928,6308,0
